1404, pdata: 4 (0,0,4) 
43: [+30.445452,+46.159275,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
44: [+30.895409,+46.146507,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
45: [+31.183985,+45.445393,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
46: [+31.439808,+45.440105,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [-0.000000,+0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
47: [+31.788757,+45.508453,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
48: [+31.118870,+45.763592,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [-0.000000,-0.000000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
49: [+31.541147,+45.821060,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
50: [+31.883717,+45.774277,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
51: [+31.168335,+46.154476,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
52: [+31.551752,+46.104900,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
53: [+31.825630,+46.120453,+0.500000] , 1. [-0.000000,-0.448000,+0.000000] [-0.000000,-0.000000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
54: [+32.145584,+45.561031,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [-0.000000,-0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
55: [+32.473881,+45.481205,+0.500000] , 1. [+0.000000,-0.448000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
56: [+32.822876,+45.467018,+0.500000] , 1. [-0.000000,-0.448000,+0.000000] [-0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] [+0.000000,+0.000000,+0.000000] 
